ts,endpoint,run,ok,tcp_connect_ms,tls_handshake_ms,tls_version,cipher,alpn,cert_cn,error
2026-06-04T13:01:12.558884+00:00,api.groq.com,4,True,4.12,6.401,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.groq.com,
2026-06-04T13:01:13.011241+00:00,api.mistral.ai,0,True,1.924,6.12,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.mistral.ai,
2026-06-04T13:01:13.420235+00:00,api.mistral.ai,1,True,1.637,6.472,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.mistral.ai,
2026-06-04T13:01:13.953930+00:00,api.mistral.ai,2,True,1.346,6.535,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.mistral.ai,
2026-06-04T13:01:14.489925+00:00,api.mistral.ai,3,True,1.338,6.418,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.mistral.ai,
2026-06-04T13:01:14.984027+00:00,api.mistral.ai,4,True,1.375,6.503,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.mistral.ai,
2026-06-04T13:01:15.512203+00:00,italynorth.tts.speech.microsoft.com,0,True,14.918,16.985,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.tts-frontend.speech.microsoft.com,
2026-06-04T13:01:15.924231+00:00,italynorth.tts.speech.microsoft.com,1,True,20.528,20.528,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.tts-frontend.speech.microsoft.com,
2026-06-04T13:01:16.511948+00:00,italynorth.tts.speech.microsoft.com,2,True,19.571,19.571,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.tts-frontend.speech.microsoft.com,
2026-06-04T13:01:17.029780+00:00,italynorth.tts.speech.microsoft.com,3,True,19.765,19.765,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.tts-frontend.speech.microsoft.com,
2026-06-04T13:01:17.548857+00:00,italynorth.tts.speech.microsoft.com,4,True,15.0,16.943,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.tts-frontend.speech.microsoft.com,
2026-06-05T13:01:01.595405+00:00,api.deepgram.com,0,True,143.978,149.449,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-05T13:01:02.164940+00:00,api.deepgram.com,1,True,140.829,140.829,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-05T13:01:02.626031+00:00,api.deepgram.com,2,True,143.989,144.095,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-05T13:01:03.058291+00:00,api.deepgram.com,3,True,153.228,153.228,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-05T13:01:03.532011+00:00,api.deepgram.com,4,True,147.705,151.049,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
