ts,date,hour,endpoint,anycast_likely,ttl,primary_ip,ip_count
2026-06-02 12:01:14.497778+00:00,2026-06-02,12,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-02 12:01:19.582644+00:00,2026-06-02,12,api.openai.com,False,5,172.66.0.243,2
2026-06-02 12:01:25.693109+00:00,2026-06-02,12,api.groq.com,False,300,172.64.149.20,2
2026-06-02 12:01:34.213370+00:00,2026-06-02,12,api.mistral.ai,False,27,172.66.2.203,2
2026-06-02 12:01:42.759186+00:00,2026-06-02,12,api.deepgram.com,True,10,66.103.225.59,2
2026-06-02 12:01:48.139444+00:00,2026-06-02,12,api.openai.com,False,44,162.159.140.245,2
2026-06-02 12:01:56.976931+00:00,2026-06-02,12,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-02 18:01:02.984372+00:00,2026-06-02,18,api.deepgram.com,True,10,38.104.135.212,3
2026-06-02 18:01:07.484893+00:00,2026-06-02,18,api.rev.ai,False,60,54.69.164.121,3
2026-06-02 18:01:15.360718+00:00,2026-06-02,18,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-02 18:01:18.584308+00:00,2026-06-02,18,api.openai.com,False,46,172.66.0.243,2
2026-06-02 18:01:24.416104+00:00,2026-06-02,18,api.groq.com,False,88,104.18.38.236,2
2026-06-02 18:01:25.687694+00:00,2026-06-02,18,api.mistral.ai,False,300,162.159.142.207,2
2026-06-02 18:01:28.732877+00:00,2026-06-02,18,api.deepgram.com,True,10,208.184.56.200,3
2026-06-02 18:01:29.872269+00:00,2026-06-02,18,api.openai.com,False,5,162.159.140.245,2
2026-06-02 18:01:32.751274+00:00,2026-06-02,18,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-03 00:01:02.612662+00:00,2026-06-03,0,api.deepgram.com,True,5,208.184.56.200,2
2026-06-03 00:01:08.346560+00:00,2026-06-03,0,api.rev.ai,False,60,44.255.232.246,3
2026-06-03 00:01:09.803338+00:00,2026-06-03,0,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-03 00:01:16.385537+00:00,2026-06-03,0,api.openai.com,False,39,172.66.0.243,2
2026-06-03 00:01:20.873896+00:00,2026-06-03,0,api.groq.com,False,138,172.64.149.20,2
2026-06-03 00:01:23.146157+00:00,2026-06-03,0,api.mistral.ai,False,231,172.66.2.203,2
2026-06-03 00:01:25.474243+00:00,2026-06-03,0,api.deepgram.com,True,4,216.200.21.202,3
2026-06-03 00:01:29.990080+00:00,2026-06-03,0,api.openai.com,False,16,172.66.0.243,2
2026-06-03 00:01:34.928761+00:00,2026-06-03,0,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-03 05:31:03.185090+00:00,2026-06-03,5,api.deepgram.com,True,10,216.200.21.202,3
2026-06-03 05:31:23.841227+00:00,2026-06-03,5,api.rev.ai,False,60,52.88.192.16,3
2026-06-03 05:31:49.644254+00:00,2026-06-03,5,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-03 05:32:12.615421+00:00,2026-06-03,5,api.openai.com,False,5,172.66.0.243,2
2026-06-03 05:32:33.766835+00:00,2026-06-03,5,api.groq.com,False,223,104.18.38.236,2
2026-06-03 05:32:47.580025+00:00,2026-06-03,5,api.mistral.ai,False,88,172.66.2.203,2
2026-06-03 05:33:14.731159+00:00,2026-06-03,5,api.deepgram.com,True,5,208.184.56.200,2
2026-06-03 05:33:39.659953+00:00,2026-06-03,5,api.openai.com,False,41,172.66.0.243,2
2026-06-03 05:34:01.399077+00:00,2026-06-03,5,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-03 06:01:03.697632+00:00,2026-06-03,6,api.deepgram.com,True,10,38.104.135.212,3
2026-06-03 06:01:08.971011+00:00,2026-06-03,6,api.rev.ai,False,60,54.71.42.79,3
2026-06-03 06:01:14.360593+00:00,2026-06-03,6,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-03 06:01:17.666028+00:00,2026-06-03,6,api.openai.com,False,42,162.159.140.245,2
2026-06-03 06:01:20.756977+00:00,2026-06-03,6,api.groq.com,False,214,172.64.149.20,2
2026-06-03 06:01:21.920995+00:00,2026-06-03,6,api.mistral.ai,False,99,162.159.142.207,2
2026-06-03 06:01:26.643073+00:00,2026-06-03,6,api.deepgram.com,True,10,208.184.56.200,2
2026-06-03 06:01:32.105399+00:00,2026-06-03,6,api.openai.com,False,22,162.159.140.245,2
2026-06-03 06:01:36.937819+00:00,2026-06-03,6,italynorth.tts.speech.microsoft.com,False,10,4.232.100.221,1
2026-06-03 12:01:02.835338+00:00,2026-06-03,12,api.deepgram.com,True,10,66.103.225.59,2
2026-06-03 12:01:10.104892+00:00,2026-06-03,12,api.rev.ai,False,60,54.69.164.121,3
2026-06-03 12:01:13.859538+00:00,2026-06-03,12,italynorth.stt.speech.microsoft.com,False,10,4.232.100.212,1
2026-06-03 12:01:18.192163+00:00,2026-06-03,12,api.openai.com,False,16,172.66.0.243,2
2026-06-03 12:01:21.976032+00:00,2026-06-03,12,api.groq.com,False,132,104.18.38.236,2
2026-06-03 12:01:28.351959+00:00,2026-06-03,12,api.mistral.ai,False,300,172.66.2.203,2
