ts,date,hour,endpoint,avg_ms,min_ms,max_ms,mdev_ms,packet_loss,icmp_blocked
2026-06-04 05:31:11.943928+00:00,2026-06-04,5,api.rev.ai,,,,,100,True
2026-06-04 05:31:32.256163+00:00,2026-06-04,5,italynorth.stt.speech.microsoft.com,10.377,10.362,10.397,0.011,0,False
2026-06-04 05:32:01.940035+00:00,2026-06-04,5,api.openai.com,1.145,1.102,1.279,0.046,0,False
2026-06-04 05:32:21.604090+00:00,2026-06-04,5,api.groq.com,1.378,1.324,1.467,0.039,0,False
2026-06-04 05:32:32.770250+00:00,2026-06-04,5,api.mistral.ai,0.976,0.912,1.066,0.046,0,False
2026-06-04 05:32:53.525434+00:00,2026-06-04,5,api.deepgram.com,136.547,135.831,141.304,1.694,0,False
2026-06-04 05:33:07.823479+00:00,2026-06-04,5,api.openai.com,1.619,1.569,1.792,0.062,0,False
2026-06-04 05:33:25.608421+00:00,2026-06-04,5,italynorth.tts.speech.microsoft.com,9.981,9.954,10.042,0.027,0,False
2026-06-04 06:01:02.331186+00:00,2026-06-04,6,api.deepgram.com,136.239,136.099,136.732,0.166,0,False
2026-06-04 06:01:08.938682+00:00,2026-06-04,6,api.rev.ai,,,,,100,True
2026-06-04 06:01:09.905772+00:00,2026-06-04,6,italynorth.stt.speech.microsoft.com,9.983,9.934,10.124,0.059,0,False
2026-06-04 06:01:13.831766+00:00,2026-06-04,6,api.openai.com,1.13,1.075,1.23,0.05,0,False
2026-06-04 06:01:17.069089+00:00,2026-06-04,6,api.groq.com,1.548,1.504,1.591,0.024,0,False
2026-06-04 06:01:23.397701+00:00,2026-06-04,6,api.mistral.ai,1.272,1.194,1.436,0.065,0,False
2026-06-04 06:01:28.359421+00:00,2026-06-04,6,api.deepgram.com,102.98,101.878,109.261,2.235,0,False
2026-06-04 06:01:37.178300+00:00,2026-06-04,6,api.openai.com,1.319,1.044,2.937,0.538,0,False
2026-06-04 06:01:41.147909+00:00,2026-06-04,6,italynorth.tts.speech.microsoft.com,11.06,11.019,11.158,0.034,0,False
2026-06-04 12:01:04.376182+00:00,2026-06-04,12,api.deepgram.com,134.467,134.384,134.503,0.031,0,False
2026-06-04 12:01:08.688229+00:00,2026-06-04,12,api.rev.ai,,,,,100,True
2026-06-04 12:01:12.029015+00:00,2026-06-04,12,italynorth.stt.speech.microsoft.com,10.348,10.328,10.402,0.019,0,False
2026-06-04 12:01:14.505911+00:00,2026-06-04,12,api.openai.com,1.072,0.981,1.361,0.103,0,False
2026-06-04 12:01:21.820349+00:00,2026-06-04,12,api.groq.com,1.675,1.637,1.788,0.039,0,False
2026-06-04 12:01:24.697884+00:00,2026-06-04,12,api.mistral.ai,0.931,0.897,0.972,0.022,0,False
